"gsid","Owner","PSAL_Catalog","Type_2D_3D","Processed","Process_date","Site_ID","Local_ID","Age_Period_ID","Weight","Material_ID","PPTP","Archie_ID","Proprietary","Experimental","Notes","Flag","Biface"
213,"Nyers",213,"2.5D","Processed",6/19/2021 16:12:14,32,"(t2)l8 287",,1.70000,,213,,,0,"Nipeheme Village",0,1
214,"Nyers",214,,"empty",,,"Unknown",,,,214,,,0,,0,0
215,"Nyers",215,,"empty",,,"Unknown",,,,215,,,0,,0,0
216,"Nyers",216,,"empty",,,"Unknown",,,,216,,,0,,0,0
234,"Nyers",234,"2.5D","Processed",6/19/2021 16:13:30,68,"430?",,3.10000,,234,,,0,"10IH1163",0,1
237,"Nyers",237,"2.5D","Processed",6/19/2021 16:14:55,72,"20?",,1.40000,,237,,,0,"10IH1732",0,1
240,"Nyers",240,"2.5D","Processed",6/19/2021 16:16:15,16,"01-07",1,1.50000,,240,,,0,"Gill Gulch",0,1
241,"Nyers",241,"2.5D","Processed",6/19/2021 16:17:38,70,"Q-1-5 (?)",1,1.50000,,241,,,0,"10IH1286",0,1
242,"Nyers",242,"2.5D","Processed",6/19/2021 16:18:59,70,"95_8",1,0.70000,,242,,,0,"10IH1286",0,1
247,"Nyers",247,"2.5D","Processed",6/19/2021 16:20:20,32,"t2_l5_32",,2.40000,,247,,,0,"Nipeheme Village",0,1
249,"Nyers",249,"2.5D","Processed",6/19/2021 16:21:41,23,"01-08",1,2.80000,,249,,,0,"American Bar",0,1
253,"Nyers",253,"2.5D","Processed",6/19/2021 16:23:01,16,"340(?)",1,1.90000,,253,,,0,"Gill Gulch",0,1
258,"Nyers",258,"2.5D","Processed",6/19/2021 16:24:24,32,"t4 l2 360",1,1.30000,,258,,,0,"Nipeheme Village",0,1
260,"Nyers",260,"2.5D","Processed",6/19/2021 16:25:41,70,"95-8",1,1.20000,,260,,,0,"10IH1286",0,1
261,"Nyers",261,"2.5D","Processed",6/19/2021 16:26:59,68,"575",,2.30000,,261,,,0,"10IH1163",0,1
262,"Nyers",262,"2.5D","Processed",6/19/2021 16:28:17,71,"1?",1,1.10000,,262,,,0,"10IH1301",0,1
263,"Nyers",263,"2.5D","Processed",6/19/2021 16:29:38,32,"(t4)l12 175",1,1.90000,,263,,,0,"Nipeheme Village",0,1
264,"Nyers",264,"2.5D","Processed",6/19/2021 16:31:01,72,"21?",1,1.80000,,264,,,0,"10IH1732",0,1
265,"Nyers",265,"2.5D","Processed",6/19/2021 16:32:22,16,"199?",1,1.00000,,265,,,0,"Gill Gulch",0,1
