"Site_ID","Site_name","Smithsonian","Country","State","County","FIPS","Lat","Lon","Comment","Narrative","Typical","Color","Marker","Size"
28,"Marmes Rockshelter","45FR50","USA","WA","Franklin",,46.53297,-118.89810,"Rice 1972:  The Marmes Rockshelter archaeological site is located in the Lower Monumental District at the mouth of the Palouse River canyon (Fig. 2). This location is approximately 1.5 miles north of the confluence of the Palouse and Snake rivers. The sit","Rice 1972:  The Marmes Rockshelter archaeological site is located in the Lower Monumental District at the mouth of the Palouse River canyon (Fig. 2). This location is approximately 1.5 miles north of the confluence of the Palouse and Snake rivers. The site contains two areas of importance: the rockshelter itself, and the adjacent floodplain of the Palouse River lying immediately in front of the shelter mouth. Archaeological excavations were conducted in the rockshelter by Washington State University summer field crews under the direction of Richard D. Daugherty between 1962 and 1965. Excavations were continued in the rockshelter and initiated on the floodplain in 1968 as the result of new discoveries at the site (Fryxell and others l968a). The site was inundated by the Lower Monumental Dam reservoir in 1969 despite efforts of the U.S. Army, Corps of Engineers, to save it with a protective levee. Work conducted at the site and finds made there are reported by Rice (l969b).",1538,"brown","o",20.00000
29,"McCulley Creek","10IH1160","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
30,"McLaughlin Flat","10IH67","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
31,"Mill Iron Site","24CT30","USA","MT","Carter",,45.51640,-104.53916,"SE corner Montana",,420,"lightgrey","o",20.00000
32,"Nipeheme Village","10IH1312","USA","ID","Idaho",,45.83513,-115.46639,,,6,"lightgrey","o",20.00000
33,"Parman Locality",,"USA","NV","Humboldt",32013,41.40401,-118.10059,,,,"lightgrey","o",20.00000
34,"Parman-1","26Parman-1","USA","NV","Humboldt",,41.40401,-118.10059,"CrNV-02-194",,355,"lightgrey","o",20.00000
35,"Parman-2","26Parman-2","USA","NV","Humboldt",,41.40401,-118.10059,"CrNV-02-195",,348,"lightgrey","o",20.00000
36,"Parman-3","26Parman-3","USA","NV","Humboldt",,41.40401,-118.10059,"CrNV-02-192",,357,"lightgrey","o",20.00000
37,"Parman-4","26Parman-4","USA","NV","Humboldt",,41.40401,-118.10059,"CrNV-02-193",,360,"lightgrey","o",20.00000
38,"Pender Canal 2","DeRt2","Canada","BC","Gulf Islands",,48.74999,-123.24999,"Carlson 2008: These two sites, sometimes referred to as the Canal Site, are situated at the south end of North Pender---Island, and were partly destroyed by a ship canal dug between North and South Pender in 1911. DeRt-2 was first tested by Wilson Duff an","Carlson 2008: These two sites, sometimes referred to as the Canal Site, are situated at the south end of North Pender
Island, and were partly destroyed by a ship canal dug between North and South Pender in 1911. DeRt-2 was first tested by Wilson Duff and Michael Kew in 1958 for the British Columbia Provincial Museum (BCPM), and DeRt-1 by John McMurdo for SFU in 1971. Later both sites were extensively excavated during 1984-86 by a joint salvage project between the provincial government Heritage Conservation Branch and the SFU Department of Archaeology directed by Roy Carlson (Carlson and Hohler 1993). DeRt-2 is primarily a burial site, is the older of the two with Mayne and Locarno Beach components that date between 5200 and 2500 BP, and a smattering of younger remains sometimes mixed with the older material in the Late Midden deposit, whereas DeRt-1 is a camp site with occupation spanning
the Locarno Beach, Marpole and San Juan phases from 2400 BP to late precontact. Some of the projectile points from Pender DeRt-2 are illustrated in Figure 20.",,"lightgrey","o",20.00000
39,"Picture Cave","10IH69","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
40,"Pilcher Creek","35UN147","USA","OR","Union",,45.29975,-118.00667,"Between Baker City and La Grande",,297,"blue","o",20.00000
41,"Richardson Island","BC_Richardson","Canada","BC","Haida Gwaii",,52.73720,-131.76700,"Richardson Island, Haida Gwaii  1127T",,,"lightgrey","o",20.00000
42,"Rush Valley",,"USA","UT","Tooele",,40.45027,-113.12504,"Private land in Rush Valley T6S R6W Sec 6   UTM:4464344 m N374647 m E.",,401,"lightgrey","o",20.00000
43,"Roaring Springs Cave","35HA433","USA","OR","Harney",,43.05989,-118.96301,"75 miles south of Burns",,,"lightgrey","o",20.00000
44,"Rock Creek Bridge","10IH2491","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
45,"Running Antelope","42BO538","USA","UT","Box Elder",,41.52225,-113.08026,"near Snowville UT",,533,"lightgrey","o",20.00000
47,"Sentinel Gap","45KT1362","USA","WA","Kittitas",,47.12087,-120.67935,"10 miles south of Vantage",,398,"lightgrey","o",20.00000
48,"Sheep Mountain","35HA3667","USA","OR","Harney",,43.05989,-118.96301,"50 miles west of Burns",,,"lightgrey","o",20.00000
49,"Silverhope Creek","DiRi39","Canada","BC","Hope",,49.41666,-121.41666,"McLaren 2008:  Archer 1980","McLaren 2008:  Archer 1980",,"lightgrey","o",20.00000
50,"Simon Cache","10CM00007","USA","ID","Camas",,43.34600,-114.79400,"Clovis cache in 1961.  North of Twin Falls near Fairfield, ID",,444,"lightgrey","o",20.00000
51,"Scowlitz","DhRl16","Canada","BC","Chilliwack",,49.25000,-121.91666,"McLaren 2008:  Lepofsky 2000","McLaren 2008:  Lepofsky 2000",,"lightgrey","o",20.00000
52,"Swan Lake",,"USA","OR","Klamath",41035,42.68089,-121.64674,"... verify county",,,"lightgrey","o",20.00000
53,"Thorn Thicket","45WT36","USA","WA","Whitman",,46.89780,-117.52301,"Rice 1972:  The Thorn Thicket site (45WT36) in the Lower Granite District revealed an isolated projectile point (group 1 - 3) nearly two meters below a layer of Mount Mazama volcanic ash (Sprague and Combes  1966:9).","Rice 1972:  The Thorn Thicket site (45WT36) in the Lower Granite District revealed an isolated projectile point (group 1 - 3) nearly two meters below a layer of Mount Mazama volcanic ash (Sprague and Combes  1966:9).",,"lightgrey","o",20.00000
54,"Tucannon","45CO1","USA","WA","Columbia",,46.29508,-117.90597,"Rice 1972:  Surface finds of Windust Phase projectile points (group 1- 2 ) have been made at the Tucannon site (45C01) in the Lower Monumental District.","Rice 1972:  Surface finds of Windust Phase projectile points (group 1- 2 ) have been made at the Tucannon site (45C01) in the Lower Monumental District.",,"lightgrey","o",20.00000
55,"Tule Springs","35HA406","USA","OR","Harney",41025,43.05989,-118.96301,,,,"lightgrey","o",20.00000
57,"Uolba","Ru_Ubola","Russia","Ru","Sahka",,70.00000,125.00000,"Siberian arctic on Lena River in Sahka Republic",,,"lightgrey","o",20.00000
58,"Uptar","Ru_Uptar","Russia","Ru","Oblast",,59.91000,150.81699,"25 miles north of Magadan, Siberia",,684,"lightgrey","o",20.00000
59,"Ushki","Ru_Ushki","Russia","Ru","Kamchatka",,58.00000,162.00000,"Ushiki Lake site on east coast of Kamchatka Peninsula",,12155,"yellow","o",20.00000
60,"Walker Road","AKHEA130","USA","AK","Denali",,63.85640,-149.13940,"Card C14","Card C14",,"lightgrey","o",20.00000
61,"Wasden Site","10BV30","USA","ID","Bonneville",,43.38620,-111.61285,"aka Owl Cave Card C14 data",,456,"lightgrey","o",20.00000
62,"Weis Rockshelter","10IH66","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
63,"Weitas Creek","10CW30","USA","ID","Clearwater",,46.63600,-115.43330,"Tributary to Upper North Fork Clearwater",,,"lightgrey","o",20.00000
64,"Wilson Butte Cave","10JE6","USA","ID","Jerome",,42.68601,-114.25585,"NE of Twin Falls  Card C14",,,"lightgrey","o",20.00000
65,"Seed Cave (Windust)","45FR46","USA","WA","Franklin",,46.53297,-118.89810,"Windust Cave H,  Snake River",,,"lightgrey","o",20.00000
66,"Yahkanima'puh","10LT216","USA","ID","Latah",,46.80804,-116.71231,"near Troy, ID",,,"lightgrey","o",20.00000
67,"10AM413","10AM413","USA","ID","Idaho",,45.83513,-115.46639,"Little Salmon River between Riggins and New Meadows",,,"lightgrey","o",20.00000
68,"10IH1163","10IH1163","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
69,"10IH1276","10IH1276","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
70,"10IH1286","10IH1286","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
71,"10IH1301","10IH1301","USA","ID","Idaho",,45.83513,-115.46639,,,262,"lightgrey","o",20.00000
72,"10IH1732","10IH1732","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
73,"10IH1905","10IH1905","USA","ID","Idaho",,45.83513,-115.46639,,,194,"lightgrey","o",20.00000
74,"10IH307","10IH307","USA","ID","Idaho",,45.83513,-115.46639,,,140,"lightgrey","o",20.00000
75,"10IH388","10IH388","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
76,"10IH396","10IH396","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
77,"10IH759","10IH759","USA","ID","Idaho",,45.83513,-115.46639,,,70,"lightgrey","o",20.00000
78,"10NP298","10NP298","USA","ID","Nez Perce",,46.31557,-116.75267,,,196,"lightgrey","o",20.00000
79,"10NP123","10NP123","USA","ID","Nez Perce",,46.31557,-116.75267,"Eagle Creek Area excavated in 1973",,,"lightgrey","o",20.00000
80,"10NP124","10NP124","USA","ID","Nez Perce",,46.31557,-116.75267,"Eagle Creek Area excavated in 1973",,81,"lightgrey","o",20.00000
81,"10NP128","10NP128","USA","ID","Nez Perce",,46.31557,-116.75267,"Eagle Creek Area excavated in 1973",,,"lightgrey","o",20.00000
82,"10NP300","10NP300","USA","ID","Nez Perce",,46.31557,-116.75267,,,23,"lightgrey","o",20.00000
83,"35HA3220","35HA3220","USA","OR","Harney",,43.05989,-118.96301,"East of Steens, near Trout Creek in Alvord Desert",,,"lightgrey","o",20.00000
84,"35HA3864","35HA3864","USA","OR","Harney",,43.05989,-118.96301,,,,"lightgrey","o",20.00000
85,"42BE629","42BE629","USA","UT","Beaver",,38.35314,-113.23550,,,537,"lightgrey","o",20.00000
86,"42MD747","42MD747","USA","UT","Millard",,39.07058,-113.09469,"'Rocky Knoll'  ?",,518,"lightgrey","o",20.00000
87,"42TO925","42TO925","USA","UT","Tooele",,40.45026,-113.12504,,,534,"lightgrey","o",20.00000
88,"42BO570","42BO570","USA","UT","Box Elder",,41.52225,-113.08026,"Pitblado 2003","Pitblado 2003",517,"lightgrey","o",20.00000
89,"45WT2 near Marmes","45WT2","USA","WA","Whitman",,46.89780,-117.52301,"Rice 1972:  45WT2------At 45WT2 in the Lower Monumental District an assemblage of 16 specimens was recovered from Culture Layer E ( Nance 1966 : 29 - 30) . The artifacts recovered include the base of a large stemmed projectile point (group 1-1 7) , two kn","Rice 1972:  45WT2

At 45WT2 in the Lower Monumental District an assemblage of 16 specimens was recovered from Culture Layer E ( Nance 1966 : 29 - 30) . The artifacts recovered include the base of a large stemmed projectile point (group 1-1 7) , two knife fragments, two bone awls , the tip of a barbed bone point , a scraper, a flake knife, and eight large stone artifacts . Culture Layer E predates a radiocarbon sample dated at 7300 ± 180 (WSU-170) years ago.",,"lightgrey","o",20.00000
90,"45WT35 on Snake River","45WT35","USA","WA","Whitman",,46.89780,-117.52301,"Rice 1972:  At 45WT35 in the Lower Granite District an assemblage of specimens was obtained just above a gravel deposit similar to Unit I at Granite Point (Sprague and Combes 1966 : 17 ). The assemblage---includes a projectile point (group 1 - 5), a knife","Rice 1972:  At 45WT35 in the Lower Granite District an assemblage of specimens was obtained just above a gravel deposit similar to Unit I at Granite Point (Sprague and Combes 1966 : 17 ). The assemblage
includes a projectile point (group 1 - 5), a knife fragment, a crude biface, and utilized flakes.",,"lightgrey","o",20.00000
91,"5MF4334","5MF4334","USA","CO","Moffat",,40.61339,-108.20374,,,530,"lightgrey","o",20.00000
92,"5MF625","5MF625","USA","CO","Moffat",,40.61339,-108.20374,,,522,"lightgrey","o",20.00000
93,"Cattle Point","45SJ1","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008: This site at the southern end of San Juan Island was excavated by the UW Field School directed---by Arden King (1950) during 1946-47, and by Carroll Burroughs in 1948 (Carlson 1954, 1960). There are four horizontal divisions of this large si","Carlson 2008: This site at the southern end of San Juan Island was excavated by the UW Field School directed
by Arden King (1950) during 1946-47, and by Carroll Burroughs in 1948 (Carlson 1954, 1960). There are four horizontal divisions of this large site (King 19 50, Fig. 1 )-west bluff, east bluff, rock spur and old beach. Radiocarbon dates on the two bluff areas were obtained later (Robinson and Thompson 1981) on shell samples taken from level bags. These dates, corrected for the marine reservoir effect, plus the artifact types present indicate that the deposits date no earlier than the Locarno Beach phase. The east bluff has the oldest deposits and these overlap in time with those of the west bluff The bluff and rock spur deposits in general cover the period from about 3000 to 1500 BP and are mostly Marpole phase. The deposits on the old beach are younger and probably cover the period from about 800 BP
into the historic period.",,"lightgrey","o",20.00000
94,"English Camp","45SJ24","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008: This site at the northern end of San Juan Island is sometimes known as British Camp and was initially tested by the University of Washington (UW) Field School in 1950 under the direction of A.E. Treganza. Although I participated in the excav","Carlson 2008: This site at the northern end of San Juan Island is sometimes known as British Camp and was initially tested by the University of Washington (UW) Field School in 1950 under the direction of A.E. Treganza. Although I participated in the excavation and wrote a description of the artifacts recovered (Carlson 1954), neither the site map and profiles, nor the field notes and catalog were available to me at that time. Further excavations were undertaken by the UW Field School from 1983 to 1989 directed by Julie Stein (1992) that produced 20 14C dates ranging from 1500 to 600 BP. Kornbacker (1992) analyzed the projectile points from this excavation. Stein (2000) mentions additional work at the site and illustrates additional projectile points. Both Marpole and post-Marpole components are present.",,"lightgrey","o",20.00000
95,"Garrison","45SJ24","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of---Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 158","Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of
Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 1580 ± 60 md 2100 ± 100 BP, that place them in the Marpole phase. The other two sites yielded minimal amounts of chipped stone and belong in the post-1500 BP San Juan phase.",,"lightgrey","o",20.00000
96,"False Narrows","DgRw4","Canada","BC","Gulf Islands",,49.08333,-123.74999,"Carlson 2008:  This site (Burley 1988) is situated on the southwest shore of Gabriola Island and was excavated in 1966-67 by a BCPM field crew under the direction of John Sendey. The site contains four components of which the earliest belongs to the Marpo","Carlson 2008:  This site (Burley 1988) is situated on the southwest shore of Gabriola Island and was excavated in 1966-67 by a BCPM field crew under the direction of John Sendey. The site contains four components of which the earliest belongs to the Marpole phase and immediately predates the single radiocarbon date of 1710±90 BP.",,"lightgrey","o",20.00000
97,"Montague Harbor","DfRt2","Canada","BC","Gulf Islands",,48.91666,-123.24999,"Carlson 2008:  The main excavation at this site on Galiano Island was undertaken by Donald Mitchell (1971), and later work in the underwater section by Norman Easton (1985) of the University of Victoria. The earliest component at the site is the Locarno B","Carlson 2008:  The main excavation at this site on Galiano Island was undertaken by Donald Mitchell (1971), and later work in the underwater section by Norman Easton (1985) of the University of Victoria. The earliest component at the site is the Locarno Beach phase with the earliest date at 2360 ± 160 BP.",,"lightgrey","o",20.00000
98,"Argyle Lagoon","45SJ2","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008: This large site was· tested by the UW Field School in 1951 under the direction of Carroll Burroughs---(Carlson 1954, 1960).1he excavation consisted of a series of disconnected test pits that revealed an upper---shell midden and a lower cultu","Carlson 2008: This large site was· tested by the UW Field School in 1951 under the direction of Carroll Burroughs
(Carlson 1954, 1960).1he excavation consisted of a series of disconnected test pits that revealed an upper
shell midden and a lower cultural layer lacking shell. Smith (1907:383) noted that this site was 300
meters long by 60 meters wide. Gary Wessen (2005) conducted further excavations at what is probably
another part of this same site although numbered 45-SJ-407. Wessen obtained three radiocarbon
dates but these seem to date a later occupation since none of the artifact types from the previous excavations
were found in his tests.",,"lightgrey","o",20.00000
99,"Not from site","None",,,,,47.00000,-127.00000,"Not tied to site (Experimental, lab-made, etc.)",,,"lightgrey","o",20.00000
100,"Duke Point","DgRx5","Canada","BC","Vancouver Island",,49.08333,-123.91666,"Carlson 2008:  This site is on the east coast of Vancouver Island near the False Narrows site, and was excavated by a field crew under the direction of Neal Crozier in 1978 (Murray 1982).1he site contains three components of which the earliest is probably","Carlson 2008:  This site is on the east coast of Vancouver Island near the False Narrows site, and was excavated by a field crew under the direction of Neal Crozier in 1978 (Murray 1982).1he site contains three components of which the earliest is probably Mayne phase. Recent re-dating gives an initial date of 4700 BP with later dates falling in the Marpole phase (Deo et al. 2004).",,"lightgrey","o",20.00000
101,"Georgeson Bay","DfRu24","Canada","BC","Gulf Islands",,48.91666,-123.41666,"Carlson 2008:  This site is situated on the southern end of Galiano Island directly across Active Pass from the Helen---Point site. It was excavated in 1968 by John Sendey (Haggarty and Sendey 1976) for the BCPM. Two components were identified, a Locarno ","Carlson 2008:  This site is situated on the southern end of Galiano Island directly across Active Pass from the Helen
Point site. It was excavated in 1968 by John Sendey (Haggarty and Sendey 1976) for the BCPM. Two components were identified, a Locarno Beach phase component dated at 2820 ± 100 BP and a late Marpole/Gulf of Georgia component dated at 750±90 BP.",,"lightgrey","o",20.00000
102,"DeStaffany","45SJ414","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008: This site, situated on a rocky knoll well above the shoreline on the southwest side of San Juan Island,---is a buried concentration of flaked stone debitage with a few formed tools including 45 mostly fragmentary bifaces, and was excavated b","Carlson 2008: This site, situated on a rocky knoll well above the shoreline on the southwest side of San Juan Island,
is a buried concentration of flaked stone debitage with a few formed tools including 45 mostly fragmentary bifaces, and was excavated by Stephen Kenady in 1972 (Kenady, Mierendorf, and Schalk 2002).  There are two radiocarbon dates of 3750±50 and 4750 ± 60 BP on soil residues scraped from artifacts (Kenady et al. 2002:9). This site is not a shell midden. Although the authors suggest that the assemblage may be early Holocene and these dates on humus too young, the lanceolate (IIIb), foliate (Ia), and stemmed (IlIa) points found are of types that date about 5000-3500 BP at Pender Canal and Helen Point that suggests that the dates are correct.",1243,"lightgrey","o",20.00000
103,"Gabriola Island","DgRw199","Canada","BC","Gulf Islands",,49.08333,-123.74999,"Carlson 2008:  This site is one of several burial sites on Gabriola Island excavated by Joanne Curtin (2002) in the---1980s. It has only two projectile points and these belong to the Marpole phase component.","Carlson 2008:  This site is one of several burial sites on Gabriola Island excavated by Joanne Curtin (2002) in the
1980s. It has only two projectile points and these belong to the Marpole phase component.",,"lightgrey","o",20.00000
104,"Dioniso Point","DgRv3","Canada","BC","Gulf Islands",,49.08333,-123.58333,"Carlson 2008: This site on the north end of Galiano Island, tested by Donald Mitchell (1971), has an early---undated component, that lacks shellfish remains, md two younger components. There are three crude points from Dionisio Point II that Mitchell date","Carlson 2008: This site on the north end of Galiano Island, tested by Donald Mitchell (1971), has an early
undated component, that lacks shellfish remains, md two younger components. There are three crude points from Dionisio Point II that Mitchell dates at 1200-1400 BP. There are twelve points (Figure 21) from House 2 at Dionisio Point dated 1800-1500 BP (Grier 1999).",,"lightgrey","o",20.00000
105,"Richardson (San Juan)","45SJ185","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008: This site on Lopez Island was tested by two UW students, William Liston and Malcolm Forbes, in 1949 (Carlson 1954, 1960). The artifact inventory indicates that the site belongs in the Marpole phase.","Carlson 2008: This site on Lopez Island was tested by two UW students, William Liston and Malcolm Forbes, in 1949 (Carlson 1954, 1960). The artifact inventory indicates that the site belongs in the Marpole phase.",784,"lightgrey","o",20.00000
106,"Fossil Bay","45SJ105","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008:   This site was excavated by Robert Kidd (1969). A Marpole phase component and a San Juan phase---component were identified with a 14C date of 1514±40 BP presumably dating the San Juan phase component, although it actually falls toward the e","Carlson 2008:   This site was excavated by Robert Kidd (1969). A Marpole phase component and a San Juan phase
component were identified with a 14C date of 1514±40 BP presumably dating the San Juan phase component, although it actually falls toward the end of the Marpole time range.",,"lightgrey","o",20.00000
107,"Moore","45SJ5","USA","WA","San Juan",53055,48.53598,-123.08244,"Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of---Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 158","Carlson 2008:  These sites are on San Juan Island, and were tested by the UW Field School under the direction of
Carroll Burroughs in 1949 and 1951 (Carlson 1954, 1960). The Garrison site has three very similar assemblages and two radiocarbon dates, 1580 ± 60 md 2100 ± 100 BP, that place them in the Marpole phase. The other two sites yielded minimal amounts of chipped stone and belong in the post-1500 BP San Juan phase.",,"lightgrey","o",20.00000
